iter	RMSE
0	77926.81844
1	76567.82057
2	75348.95784
3	74214.59147
4	73162.16199
5	72246.97412
6	71146.32162
7	70017.23865
8	69018.00484
9	68033.98454
10	67000.33473
11	65982.52753
12	65101.7416
13	64267.11009
14	63392.95263
15	62585.74746
16	61744.37644
17	60975.2888
18	60198.66274
19	59430.96183
20	58784.5779
21	58116.81164
22	57492.74036
23	56780.90051
24	56181.68678
25	55460.6887
26	54929.42788
27	54333.91191
28	53712.65763
29	53134.02055
30	52645.61072
31	52112.0301
32	51640.51168
33	51150.66162
34	50629.48864
35	50193.66477
36	49644.75539
37	49152.59196
38	48712.92269
39	48288.59777
40	47899.98925
41	47529.92966
42	47124.55408
43	46774.79413
44	46300.22394
45	45975.88054
46	45659.5713
47	45381.87815
48	44992.96538
49	44611.19586
50	44168.8895
51	43879.5985
52	43528.46989
53	43191.87745
54	42891.09048
55	42540.34062
56	42232.42989
57	41950.29576
58	41707.01683
59	41352.49257
60	41031.22927
61	40793.31932
62	40554.72351
63	40266.3291
64	39999.69753
65	39744.01713
66	39490.60098
67	39280.34022
68	39055.50026
69	38789.71234
70	38593.26607
71	38400.00259
72	38185.33155
73	37958.72464
74	37798.00374
75	37592.37518
76	37427.31455
77	37232.94653
78	37032.92468
79	36868.50331
80	36687.33801
81	36534.91805
82	36395.84835
83	36237.01546
84	36087.72729
85	35921.99708
86	35785.15894
87	35645.22685
88	35517.11787
89	35373.06695
90	35228.6152
91	35133.04347
92	35010.11238
93	34873.90373
94	34755.38898
95	34628.41538
96	34473.69144
97	34367.75621
98	34233.75358
99	34114.50221
100	33993.75598
101	33841.29564
102	33776.50944
103	33658.0046
104	33529.43998
105	33459.70563
106	33351.10406
107	33251.35381
108	33198.24913
109	33105.43777
110	33048.10441
111	32970.52898
112	32882.18478
113	32797.669
114	32668.37482
115	32554.33915
116	32477.42475
117	32383.17021
118	32290.86229
119	32209.92391
120	32110.69025
121	32024.19743
122	31947.29606
123	31880.15051
124	31776.19611
125	31711.10638
126	31592.11823
127	31498.15355
128	31459.35873
129	31384.6672
130	31307.10507
131	31238.45685
132	31158.83456
133	31095.07591
134	31030.49083
135	30973.43447
136	30886.44822
137	30807.78111
138	30723.10049
139	30652.19189
140	30579.08185
141	30509.80284
